Quantidade_Exames;Custo_Total;Dias_Internacao;Genero_Feminino;Genero_Masculino;Diagnostico_Apendicite;Diagnostico_Covid-19;Diagnostico_Diabetes Descompensada;Diagnostico_Fratura;Diagnostico_Hipertensão;Diagnostico_Infarto;Diagnostico_Pneumonia;Diagnostico_Trauma Crânio-Encefálico;Procedimento_Antibióticos;Procedimento_Cirurgia;Procedimento_Cirurgia Cardíaca;Procedimento_Fisioterapia;Procedimento_Observação;Procedimento_Tratamento Clínico;CPF;Data_Admissao;Data_Admissao_ano;Data_Admissao_dia;Data_Admissao_dia_semana;Data_Admissao_mes;Data_Alta;Data_Alta_ano;Data_Alta_dia;Data_Alta_dia_semana;Data_Alta_mes;Data_Nascimento;Medico_Responsavel;Nome;PacienteID
0.1114708626023183;-0.5616205110864001;-0.773389855933865;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;HOSP-00001;;503.819.674-84;2018-04-10;2024-07-01;2024-07-10;;2024.0;7.0;1.0;0.0;;7.0;10.0;2.0
3.1483885417592554;-1.0776517213196168;-1.3122173340808043;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;HOSP-00002;;285.673.409-00;1927-11-17;2024-02-21;2024-02-25;;2024.0;2.0;21.0;2.0;;2.0;25.0;6.0
1.0704974981255615;0.12450903722817677;2.9984024910947102;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;HOSP-00003;;891.506.274-49;2008-08-15;2024-03-30;2024-04-16;;2024.0;3.0;30.0;5.0;;4.0;16.0;1.0
-0.2082046825720961;0.544314301805916;-0.34232787341631354;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;HOSP-00004;;439.208.175-32;1934-03-29;2024-07-28;2024-08-10;;2024.0;7.0;28.0;6.0;;8.0;10.0;5.0
0.1114708626023183;0.4788323539518621;0.4120305959894015;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;HOSP-00005;;234.576.980-74;2012-06-16;2024-11-27;2024-12-17;;2024.0;11.0;27.0;2.0;;12.0;17.0;1.0
-0.5278802277465104;-0.09146628938910419;0.7353270828775651;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;HOSP-00006;;827.416.093-22;1925-01-01;2024-04-04;2024-04-27;;2024.0;4.0;4.0;3.0;;4.0;27.0;5.0
0.7508219529511471;1.2490613283308476;-0.12679688215753782;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;HOSP-00007;;956.243.701-99;1925-05-16;2024-09-13;2024-09-28;;2024.0;9.0;13.0;4.0;;9.0;28.0;5.0
0.4311464077767327;-0.22137351741500316;-0.9889208471926407;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;HOSP-00008;;765.239.841-09;1953-08-18;;2024-05-23;;;;;;;5.0;23.0;3.0
-0.2082046825720961;0.196519681833024;0.843092578506953;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;HOSP-00009;;798.053.461-10;1968-07-03;2024-04-17;2024-05-11;;2024.0;4.0;17.0;2.0;;5.0;11.0;5.0
0.7508219529511471;0.43113135572641326;-0.5578588646750893;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;HOSP-00010;;807.314.526-07;1977-03-22;2024-04-15;2024-04-26;;2024.0;4.0;15.0;0.0;;4.0;26.0;4.0
-1.1672313180953393;-1.1335733425251104;-1.52774832533958;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;HOSP-00011;;835.426.170-08;1998-02-08;2024-09-08;2024-09-10;;2024.0;9.0;8.0;6.0;;9.0;10.0;1.0
1.0704974981255615;0.303916114414714;-0.019031386528149955;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;HOSP-00012;;289.504.637-92;1993-01-16;2024-11-02;2024-11-18;;2024.0;11.0;2.0;5.0;;11.0;18.0;0.0
-1.4869068632697535;-1.558441806413436;-0.23456237778692568;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;HOSP-00013;;507.623.981-59;1957-02-26;2024-07-20;2024-08-03;;2024.0;7.0;20.0;5.0;;8.0;3.0;5.0
0.7508219529511471;0.07163162529761954;-0.019031386528149955;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;HOSP-00014;;803.961.274-87;1991-05-02;2025-01-20;2025-02-10;;2025.0;1.0;20.0;0.0;;2.0;10.0;0.0
